Temps;pxt;pyt;pzt;rxt;ryt;rzt;pxb1;pyb1;pzb1;pxb2;pyb2;pzb2;pxb3;pyb3;pzb3;pxb4;pyb4;pzb4rxb1;ryb1;rzb1;rxb2;ryb2;rzb2;rxb3;ryb3;rzb3;rxb4;ryb4;rzb4
0:1;-4.091465;0.980545;3.42978;355.8611;323.941;7.754941;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.093265;0.9806806;3.428591;355.694;322.5398;7.968572;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:2;-4.094038;0.9807911;3.428012;355.5849;321.8675;8.07419;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:2;-4.095554;0.9806219;3.42702;355.3916;320.5955;8.263186;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:2;-4.096281;0.9806957;3.426525;355.2516;319.9749;8.247483;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:2;-4.097738;0.981059;3.425624;354.9761;318.7091;8.236873;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:2;-4.098301;0.9811575;3.42536;354.7543;318.1226;8.369844;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:2;-4.098771;0.9811979;3.4252;354.5999;317.6136;8.527451;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:2;-4.099809;0.981207;3.425034;354.1966;316.8181;8.822514;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:2;-4.100317;0.9812182;3.424971;354.0205;316.4327;8.823092;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:2;-4.101239;0.9814825;3.424666;353.8249;315.8152;8.655094;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:2;-4.101601;0.9817533;3.424509;353.6845;315.5154;8.526489;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:2;-4.102254;0.9822197;3.424274;353.3169;314.942;8.470983;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
